Bildnummer,Y Koordinate,X Koordinate,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
cimg2309,215264,725675,<b>Schilt Mollis - Skilift</b> Baujahr: <b>1959</b>,<b>Schilt Mollis - Téléski</b> Année de construction: <b>1959</b>,<b>Schilt Mollis - Skilift</b> Anno di costruzione: <b>1959</b>,<b>Schilt Mollis - ski lift</b> Year of construction: <b>1959</b>,Prüflink,
cimg3738,212927,722218,<b>Wasserschloss Löntsch Netstal - Pendelbahn</b> Baujahr: <b>1972</b>,<b>Wasserschloss Löntsch Netstal - Téléphérique à va-et-vient</b> Année de construction: <b>1972</b>,<b>Wasserschloss Löntsch Netstal - Funivia a va e vieni</b> Anno di costruzione: <b>1972</b>,<b>Wasserschloss Löntsch Netstal - aerial tramway</b> Year of construction: <b>1972</b>,Prüflink,
cimg3729,204525,725450,<b>Berg - Dürstenboden Schwanden - Pendelbahn</b> Baujahr: <b>1957</b>,<b>Berg - Dürstenboden Schwanden - Téléphérique à va-et-vient</b> Année de construction: <b>1957</b>,<b>Berg - Dürstenboden Schwanden - Funivia a va e vieni</b> Anno di costruzione: <b>1957</b>,<b>Berg - Dürstenboden Schwanden - aerial tramway</b> Year of construction: <b>1957</b>,Prüflink,
ikss_scan_0008b,161700,752040,<b>Bärenburg - Wasserschloss Andeer - Pendelbahn</b> Baujahr: <b>1959</b>,<b>Bärenburg - Wasserschloss Andeer - Téléphérique à va-et-vient</b> Année de construction: <b>1959</b>,<b>Bärenburg - Wasserschloss Andeer - Funivia a va e vieni</b> Anno di costruzione: <b>1959</b>,<b>Bärenburg - Wasserschloss Andeer - aerial tramway</b> Year of construction: <b>1959</b>,Prüflink,
img_5188b,155115,753030,<b>Ferrera - Wasserschloss Innerferrera - Pendelbahn</b> Baujahr: <b>1959</b>,<b>Ferrera - Wasserschloss Innerferrera - Téléphérique à va-et-vient</b> Année de construction: <b>1959</b>,<b>Ferrera - Wasserschloss Innerferrera - Funivia a va e vieni</b> Anno di costruzione: <b>1959</b>,<b>Ferrera - Wasserschloss Innerferrera - aerial tramway</b> Year of construction: <b>1959</b>,Prüflink,
cimg6126,170360,701360,<b>Sedrun - Tgom Tavetsch - Pendelbahn</b> Baujahr: <b>1958</b>,<b>Sedrun - Tgom Tavetsch - Téléphérique à va-et-vient</b> Année de construction: <b>1958</b>,<b>Sedrun - Tgom Tavetsch - Funivia a va e vieni</b> Anno di costruzione: <b>1958</b>,<b>Sedrun - Tgom Tavetsch - aerial tramway</b> Year of construction: <b>1958</b>,Prüflink,
lsb_vicosoprano_015,137995,770947,<b>Piz Murtaira Vicosoprano - Pendelbahn</b> Baujahr: <b>1956</b>,<b>Piz Murtaira Vicosoprano - Téléphérique à va-et-vient</b> Année de construction: <b>1956</b>,<b>Piz Murtaira Vicosoprano - Funivia a va e vieni</b> Anno di costruzione: <b>1956</b>,<b>Piz Murtaira Vicosoprano - aerial tramway</b> Year of construction: <b>1956</b>,Prüflink,
cimg3265,206900,679850,<b>Vitznau - Wissifluh Vitznau - Einseilpendelbahn</b> Baujahr: <b>1964</b>,<b>Vitznau - Wissifluh Vitznau - Téléphérique monocâble à va-et-vient</b> Année de construction: <b>1964</b>,<b>Vitznau - Wissifluh Vitznau - Funivia a va e vieni</b> Anno di costruzione: <b>1964</b>,<b>Vitznau - Wissifluh Vitznau - Mono cable aerial tramway </b> Year of construction: <b>1964</b>,Prüflink,
cimg2591,196000,670307,<b>Eggwald Dallenwil - Skilift</b> Baujahr: <b>1967</b>,<b>Eggwald Dallenwil - Téléski</b> Année de construction: <b>1967</b>,<b>Eggwald Dallenwil - Skilift</b> Anno di costruzione: <b>1967</b>,<b>Eggwald Dallenwil - ski lift</b> Year of construction: <b>1967</b>,Prüflink,
cimg3923,204690,661988,<b>Hotel Fräkmünt Hergiswil - Korblift</b> Baujahr: <b>2000</b>,<b>Hotel Fräkmünt Hergiswil - Télébenne</b> Année de construction: <b>2000</b>,<b>Hotel Fräkmünt Hergiswil - </b> Anno di costruzione: <b>2000</b>,<b>Hotel Fräkmünt Hergiswil - </b> Year of construction: <b>2000</b>,Prüflink,
